Player,Points Per Game,Assists Per Game,Rebounds Per Game,Steals Per Game,Blocks Per Game,Field Goal %,Three Point %,Free Throw %,Minutes Per Game
Thomas Bryant,0.24183006535947715,0.08333333333333333,0.272108843537415,0.08000000000000002,0.28571428571428575,0.52,0.286,0.875,0.36
Shaq Buchanan,0.032679738562091505,0.09259259259259259,0.06802721088435375,0.2,0.0,0.25,0.0,0.0,0.09411764705882353
Reggie Bullock,0.28104575163398693,0.1111111111111111,0.2380952380952381,0.24,0.07142857142857144,0.401,0.36,0.833,0.6352941176470588
Trey Burke,0.16666666666666666,0.12962962962962962,0.054421768707483,0.12,0.0,0.391,0.317,0.87,0.2235294117647059
Alec Burks,0.38235294117647056,0.2777777777777778,0.33333333333333337,0.4,0.10714285714285714,0.391,0.404,0.822,0.6494117647058824
Jared Butler,0.12418300653594772,0.1388888888888889,0.07482993197278913,0.16000000000000003,0.07142857142857144,0.404,0.318,0.688,0.1788235294117647
Jimmy Butler,0.6993464052287581,0.5092592592592592,0.40136054421768713,0.6400000000000001,0.17857142857142858,0.48,0.233,0.87,0.7741176470588235
Devontae Cacok,0.10130718954248367,0.037037037037037035,0.1904761904761905,0.2,0.17857142857142858,0.677,0.0,0.571,0.16705882352941176
Kentavious Caldwell-Pope,0.43137254901960786,0.1759259259259259,0.23129251700680273,0.44000000000000006,0.10714285714285714,0.435,0.39,0.89,0.6870588235294117
Facundo Campazzo,0.16666666666666666,0.31481481481481477,0.12244897959183675,0.4,0.14285714285714288,0.361,0.301,0.769,0.40470588235294114
Vlatko ?an?ar,0.13398692810457516,0.10185185185185186,0.14285714285714288,0.04000000000000001,0.07142857142857144,0.561,0.583,0.643,0.2517647058823529
Devin Cannady,0.32679738562091504,0.18518518518518517,0.0816326530612245,0.4,0.21428571428571427,0.341,0.405,0.714,0.6588235294117647
Clint Capela,0.3627450980392157,0.1111111111111111,0.8095238095238096,0.27999999999999997,0.4642857142857143,0.613,0.0,0.473,0.6258823529411764
Vernon Carey Jr.,0.09477124183006536,0.0,0.11564625850340136,0.12,0.03571428571428572,0.538,0.0,0.462,0.12470588235294117
Vernon Carey Jr.,0.06535947712418301,0.0,0.08843537414965988,0.12,0.0,0.5,0.0,0.667,0.0776470588235294
Vernon Carey Jr.,0.13071895424836602,0.0,0.1564625850340136,0.12,0.10714285714285714,0.571,0.0,0.4,0.18823529411764706
Jevon Carter,0.13725490196078433,0.1388888888888889,0.11564625850340136,0.16000000000000003,0.07142857142857144,0.387,0.388,0.833,0.2988235294117647
Jevon Carter,0.11764705882352942,0.09259259259259259,0.10204081632653061,0.12,0.07142857142857144,0.333,0.331,0.7,0.2588235294117647
Jevon Carter,0.1830065359477124,0.23148148148148145,0.14965986394557826,0.2,0.07142857142857144,0.506,0.558,1.0,0.39294117647058824
Wendell Carter Jr.,0.4901960784313726,0.25925925925925924,0.7142857142857143,0.24,0.25,0.525,0.327,0.691,0.6799999999999999
Alex Caruso,0.24183006535947715,0.37037037037037035,0.2448979591836735,0.68,0.14285714285714288,0.398,0.333,0.795,0.6352941176470588
Willie Cauley-Stein,0.05555555555555556,0.046296296296296294,0.1360544217687075,0.12,0.07142857142857144,0.457,0.5,0.5,0.19294117647058823
Willie Cauley-Stein,0.06209150326797386,0.046296296296296294,0.14285714285714288,0.12,0.07142857142857144,0.457,0.5,0.5,0.20705882352941177
Willie Cauley-Stein,0.0,0.046296296296296294,0.06802721088435375,0.0,0.0,0.0,0.0,0.0,0.047058823529411764
Ahmad Caver,0.06535947712418301,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Justin Champagnie,0.07516339869281045,0.027777777777777776,0.1360544217687075,0.08000000000000002,0.03571428571428572,0.463,0.357,1.0,0.16
Zylan Cheatham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09411764705882353
Chris Chiozza,0.06535947712418301,0.1759259259259259,0.07482993197278913,0.16000000000000003,0.0,0.296,0.321,0.667,0.23294117647058823
Marquese Chriss,0.14705882352941177,0.046296296296296294,0.20408163265306123,0.16000000000000003,0.14285714285714288,0.463,0.32,0.667,0.2164705882352941
Josh Christopher,0.2581699346405229,0.18518518518518517,0.17006802721088438,0.36000000000000004,0.07142857142857144,0.448,0.296,0.735,0.4
Gary Clark,0.08823529411764706,0.046296296296296294,0.163265306122449,0.12,0.07142857142857144,0.375,0.4,0.7,0.20941176470588235
Brandon Clarke,0.33986928104575165,0.12037037037037036,0.36054421768707484,0.24,0.3928571428571429,0.644,0.227,0.654,0.43529411764705883
Jordan Clarkson,0.5228758169934641,0.23148148148148145,0.2380952380952381,0.32000000000000006,0.07142857142857144,0.419,0.318,0.828,0.6141176470588235
Nic Claxton,0.28431372549019607,0.08333333333333333,0.380952380952381,0.2,0.3928571428571429,0.674,0.0,0.581,0.46352941176470586
Amir Coffey,0.29411764705882354,0.16666666666666666,0.19727891156462588,0.24,0.07142857142857144,0.453,0.378,0.863,0.5105882352941176
John Collins,0.5294117647058824,0.16666666666666666,0.5306122448979592,0.24,0.35714285714285715,0.526,0.364,0.793,0.7011764705882353
Zach Collins,0.2549019607843137,0.20370370370370372,0.3741496598639456,0.2,0.28571428571428575,0.49,0.341,0.8,0.39764705882352935
Darren Collison,0.042483660130718956,0.06481481481481481,0.08843537414965988,0.12,0.0,0.286,0.0,0.0,0.26588235294117646
Mike Conley,0.4477124183006536,0.4907407407407407,0.20408163265306123,0.52,0.10714285714285714,0.435,0.408,0.796,0.6494117647058824
Pat Connaughton,0.3235294117647059,0.12037037037037036,0.28571428571428575,0.36000000000000004,0.07142857142857144,0.458,0.395,0.833,0.5882352941176471
Tyler Cook,0.11111111111111112,0.018518518518518517,0.18367346938775514,0.08000000000000002,0.07142857142857144,0.605,0.0,0.656,0.21176470588235294
Sharife Cooper,0.016339869281045753,0.037037037037037035,0.0272108843537415,0.0,0.0,0.214,0.167,0.0,0.047058823529411764
Petr Cornelie,0.03594771241830066,0.018518518518518517,0.07482993197278913,0.04000000000000001,0.03571428571428572,0.333,0.125,0.75,0.04470588235294118
DeMarcus Cousins,0.29411764705882354,0.1388888888888889,0.380952380952381,0.27999999999999997,0.14285714285714288,0.46,0.303,0.76,0.3294117647058823
DeMarcus Cousins,0.2973856209150327,0.10185185185185186,0.39455782312925175,0.36000000000000004,0.17857142857142858,0.466,0.271,0.816,0.37411764705882344
DeMarcus Cousins,0.2908496732026144,0.15740740740740738,0.3741496598639456,0.24,0.14285714285714288,0.456,0.324,0.736,0.30352941176470594
Robert Covington,0.2777777777777778,0.12037037037037036,0.3741496598639456,0.6000000000000001,0.4642857142857143,0.42,0.378,0.841,0.6188235294117647
Robert Covington,0.24836601307189543,0.12962962962962962,0.38775510204081637,0.6000000000000001,0.4642857142857143,0.381,0.343,0.833,0.6776470588235294
Robert Covington,0.33986928104575165,0.09259259259259259,0.3469387755102041,0.52,0.42857142857142855,0.5,0.45,0.848,0.4964705882352941
Torrey Craig,0.21568627450980393,0.1111111111111111,0.272108843537415,0.24,0.17857142857142858,0.454,0.329,0.75,0.45882352941176474
Torrey Craig,0.2124183006535948,0.10185185185185186,0.2585034013605442,0.2,0.14285714285714288,0.456,0.333,0.771,0.4541176470588235
Torrey Craig,0.2254901960784314,0.1111111111111111,0.2925170068027211,0.32000000000000006,0.21428571428571427,0.45,0.323,0.706,0.4658823529411765
Jae Crowder,0.30718954248366015,0.1759259259259259,0.36054421768707484,0.5599999999999999,0.14285714285714288,0.399,0.348,0.789,0.6376470588235295
Jarrett Culver,0.11437908496732027,0.08333333333333333,0.08843537414965988,0.2,0.03571428571428572,0.378,0.255,0.471,0.19058823529411764
